Create GPU,Chunk Size,Data Size,Number of Leaves,Number of Nodes,Setup time,Leaves time,Rest time,Load time,Hashing time
0,32768,32768,1,3,0.001372,1.49631,0.00013,1.37325,0.122921
1,65536,65536,1,3,0.001102,1.35461,0.00014,1.27671,0.077806
0,65536,65536,1,3,0.001583,1.79759,0.00013,1.57111,0.226365
1,65536,65536,1,3,0.001203,1.71357,0.00023,1.64483,0.068288
0,65536,65536,1,3,0.001653,1.4838,0.00013,1.25582,0.227878
1,65536,65536,1,3,0.001232,1.60347,0.00013,1.5372,0.066195
0,65536,65536,1,3,0.001443,4.16561,0.00012,3.93961,0.225925
1,131072,131072,1,3,0.001102,1.72485,0.00014,1.66307,0.061696
0,131072,131072,1,3,0.001453,1.97915,0.00014,1.54905,0.429777
1,131072,131072,1,3,0.001182,2.50191,6.1e-05,2.39622,0.105498
0,131072,131072,1,3,0.001593,1.92147,5e-05,1.4884,0.432973
